Team,F1 (macro)
pliu19,0.829
vradivchev_anikolov,0.815
lukez,0.814
Andrazp,0.808
dxmahata,0.807
ecwu,0.806
donovanOng,0.804
a.seganti,0.803
wangbin,0.802
aggarwalpiush,0.798
BBirkeneder,0.794
annis,0.793
Vadym,0.789
gregorwiedemann,0.789
cainesap,0.788
Ethan123,0.788
nishnik,0.787
alonzorz,0.787
himanisoni,0.785
samsam,0.785
JU_ETCE_17_21,0.784
DA-LD-Hildesheim,0.783
sandro272,0.782
ChenXiuling,0.779
ghmerti,0.779
safina,0.773
Arjuniitp,0.772
zhangyaojie,0.768
SM,0.768
alex-obi,0.768
na14,0.765
g.b.colborne,0.759
imprasshant,0.759
johnnytorres83,0.759
abaruah,0.757
MRK108,0.756
bogdan27182,0.755
Rol,0.754
Rohit,0.750
resham,0.750
Xcosmos,0.749
jkolis,0.747
steve050798,0.743
paulafortuna,0.742
KVETHZ,0.740
christoph.alt,0.739
logesh,0.738
Bharti,0.738
Ziv_Ben_David,0.737
ecahn,0.735
Lst,0.734
Gal_DD,0.733
hbansal0122,0.733
Emad,0.732
jrusert,0.731
sabino,0.731
tpederse,0.730
Zeyad,0.729
ShalomRochman,0.728
stefaniehegele,0.727
saroyehun,0.726
Elyash,0.723
priyakmi,0.721
RUG_OffenseEval,0.719
jaypee1996,0.719
v.gambhir15,0.718
kerner-jct.ac.il,0.717
fmplaza,0.716
apalmer,0.716
ayman,0.713
Geetika,0.709
Taha,0.705
justhalf,0.704
Pardeep,0.699
jhan014,0.690
liuxy94,0.690
ngre1989,0.690
kroniker,0.682
aswathyprem,0.670
gretelliz92,0.660
Hassan_Elseoudy,0.660
rowantahseen,0.660
ramjib,0.657
OmerElshrief,0.650
desi,0.646
saradhix,0.644
mkannan,0.628
mking,0.619
ninab,0.590
dianalungu725,0.574
Halamulki,0.569
thenmozhid,0.534
ghpaetzold,0.528
rogersdepelle,0.514
amimul786,0.500
supriyamandal,0.492
ramitpahwa,0.486
murali_sr,0.468
kripo,0.467
garain,0.465
hamadanayel,0.458
magnito60,0.422
AyushS,0.171
