Team,F1 (macro)
jhan014,0.755
alonzorz,0.739
alex-obi,0.719
pliu19,0.716
steve050798,0.708
arun95,0.706
Pardeep,0.700
dxmahata,0.695
a.seganti,0.692
Vadym,0.687
annis,0.682
sandro272,0.681
apalmer,0.681
christoph.alt,0.680
sabino,0.671
vradivchev_anikolov,0.667
Arjuniitp,0.667
Andrazp,0.663
cainesap,0.663
SM,0.662
gregorwiedemann,0.661
logesh,0.660
Lst,0.660
Geetika,0.660
abaruah,0.655
na14,0.655
jrusert,0.653
DA-LD-Hildesheim,0.646
ghmerti,0.640
zhangyaojie,0.638
saradhix,0.620
Bharti,0.617
murali_sr,0.616
Zeyad,0.616
mking,0.613
AyushS,0.603
g.b.colborne,0.600
gretelliz92,0.600
tpederse,0.595
Rol,0.591
jaypee1996,0.588
MRK108,0.588
resham,0.587
garain,0.580
priyakmi,0.575
himanisoni,0.573
Xcosmos,0.561
saroyehun,0.557
Rohit,0.553
JU_ETCE_17_21,0.546
Taha,0.540
KVETHZ,0.540
ayman,0.538
imprasshant,0.538
desi,0.529
bhanodaig,0.528
v.gambhir15,0.528
hbansal0122,0.525
Panaetius,0.513
eruppert,0.507
ecwu,0.500
ecahn,0.486
Ziv_Ben_David,0.484
thenmozhid,0.480
Gal_DD,0.473
Elyash,0.470
kerner-jct.ac.il,0.470
ninab,0.470
ShalomRochman,0.469
kroniker,0.461
Macporal,0.453
bogdan27182,0.432
dianalungu725,0.418
supriyamandal,0.270
lukez,0.121
