Team,F1 (macro)
vradivchev_anikolov,0.660
a.seganti,0.628
saradhix,0.626
sandro272,0.621
Andrazp,0.613
mbastan,0.613
alonzorz,0.591
orabia,0.588
arun95,0.587
na14,0.586
himanisoni,0.580
sabino,0.576
gregorwiedemann,0.575
HHU,0.571
SM,0.569
logesh,0.563
quanzhi,0.561
pliu19,0.560
aggarwalpiush,0.557
cainesap,0.554
DA-LD-Hildesheim,0.553
zhangyaojie,0.549
Elena_Shushkevich,0.547
g.b.colborne,0.535
Gal_DD,0.526
KVETHZ,0.526
lukez,0.524
ChenXiuling,0.523
Xcosmos,0.523
jhan014,0.515
abaruah,0.513
murali_sr,0.513
Ziv_Ben_David,0.511
Zeyad,0.509
annis,0.508
christoph.alt,0.508
jrusert,0.506
steve050798,0.506
ecwu,0.505
Elyash,0.500
Pardeep,0.490
kerner-jct.ac.il,0.490
Rol,0.486
tpederse,0.484
gretelliz92,0.483
saroyehun,0.480
JU_ETCE_17_21,0.480
AyushS,0.476
bogdan27182,0.470
Lst,0.465
mmfouad,0.465
imprasshant,0.459
priyakmi,0.444
mking,0.431
apalmer,0.430
balangheorghe,0.430
ayman,0.421
ShalomRochman,0.420
Taha,0.407
v.gambhir15,0.401
hbansal0122,0.377
Bharti,0.340
garain,0.326
thenmozhid,0.300
dianalungu725,0.249
